accountsservice 0.6.55-1
texlive-bibtexextra 2019.52577-1
texlive-bin 2019.51075-7.par2
texlive-core 2019.50917-1.par2
texlive-fontsextra 2018.49197-1.par1
texlive-latexextra 2019.50920-1.par1
texlive-science 2019.52582-1
the_silver_searcher 2.2.0-1
thunar 1.8.14-1
tig 2.5.1-1
tk 8.6.10-1
tldr 0.5-2
tlp 1.3.1-2
tmux 3.0_a-1
toilet 0.3.r155.3eb9d58-1
transmission-cli 2.94-2
transmission-gtk 2.94-2
trayer 1.1.8-1
ttf-cascadia-code 1910.04-1
ttf-dejavu 2.37-2
ttf-font-awesome 5.13.0-1
ttf-inconsolata 1:3.000-2
ttf-liberation 2.1.0-1
ttf-linux-libertine 5.3.0-4
ttf-roboto 2.138-1
ttf-symbola 13.00-7
tuimoji 1.0.0-3
tumbler 0.2.8-1
udiskie 2.1.1-1
udisks2 2.8.4-2
unzip 6.0-13.par1
urxvt-perls 2.3-1
urxvt-resize-font-git 14.97c91ec-1
usbutils 012-2
util-linux 2.35.1-2
vala 0.48.4-1
valgrind 3.15.0-1
vbam-sdl 2.1.4-1
vi 1:070224-4
vifm 0.10.1-1
virt-manager 2.2.1-2
virt-viewer 8.0-2
vlc 3.0.8-13
w3m 0.5.3.git20190105-1
weechat 2.8-1
wget 1.20.3-2
which 2.21-5
wireguard-tools 1.0.20200319-1
wireless_tools 30.pre9-3
wmctrl 1.07-5
wmname 0.1-4
wpa_supplicant 2:2.9-7
x264 3:0.159.r2999.296494a-1
xautolock 2.2-5
xcursor-themes 1.0.6-1
xdotool 3.20160805.1-2
xf86-input-synaptics 1.9.1-1
xf86-video-intel 1:2.99.917+904+gf2853658-1
xf86-video-vesa 2.4.0-2
xfce4-power-manager 1.6.6-1
xfsprogs 5.6.0-1
xinit-xsession 1-2
xorg-bdftopcf 1.1-1
xorg-docs 1.7.1-2
xorg-font-util 1.3.2-1
xorg-fonts-encodings 1.0.5-1
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-1
xorg-server-common 1.20.8-1
xorg-server-devel 1.20.8-1
xorg-server-xdmx 1.20.6-1
xorg-server-xephyr 1.20.8-1
xorg-server-xnest 1.20.8-1
xorg-server-xvfb 1.20.8-1
xorg-server-xwayland 1.20.8-1
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-3
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xfd 1.1.3-1
xorg-xfontsel 1.0.6-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.3-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-1
xscreensaver 5.44-1.parabola1
xsensors 0.80-2
yay 9.4.6-2
yay-debug 9.4.2-1
your-freedom 20200414.1-1
youtube-dl 2020.03.24-1
zsh 5.8-1
zsh-completions 0.31.0-1
zsh-syntax-highlighting 0.7.1-1
